,shop_id,shop_name,company_id,company_name,location,county_name,country_name,depot_id,shop_created_date,industry,subcription_id,subscription_start_date,subscription_end_date,duration_months,status
,1525,Facile Limited,678,Facile Limited,POINT(32.587093333333 0.33110166666667),Mukono,Uganda,,09/11/2023,Agribusiness,678,06/02/2025,06/03/2025,1,active
,1527,Marshall Agrovet,679,Marshall Agrovet,POINT(-0.5033511 35.1016042),Kericho,Kenya,,09/11/2023,Agribusiness,679,11/11/2023,11/02/2024,2,expired
,1529,RINA AGRO CHEMICALS,680,RINA VET CENTER,POINT(32.6981945 0.6805743),Wakiso,Uganda,,09/11/2023,Agribusiness,680,23/01/2024,23/01/2025,12,expired
,153,Kimz Agri-Tech,69,Kimz Agri-Tech,POINT(35.31229541 0.55370399),Uasin Gishu,Kenya,,14/04/2023,"Agribusiness,Consumer Goods,Hardware,HealthCare",69,14/11/2023,14/11/2024,12,expired
,1531,Favored Agrovet,681,Favored Agrovet,POINT(-0.40036338567733765 37.503334045410156),Embu,Kenya,,09/11/2023,Agribusiness,681,02/10/2024,07/03/2025,5,active
,1533,La Quinta Pub,682,La Quinta Pub,POINT(-3.9675317 39.7218148),Mombasa,Kenya,,09/11/2023,Liquor,682,10/11/2023,10/05/2024,6,expired
,1541,Chep Feeds,686,Chep Feeds,POINT(0.5579032 35.312848),Uasin Gishu,Kenya,,10/11/2023,Agribusiness,686,14/11/2023,14/12/2023,1,expired
,1549,Mkurg Ltd,690,Mkurg Ltd,POINT(-1.253886 36.6924619),Narok,Kenya,,10/11/2023,Agribusiness,746,19/11/2023,19/12/2023,1,expired
,1551,ECLIPSE NTHOKAH HARDWARE,691,ECLIPSE NTHOKAH HARDWARE,POINT(37.77107226 -2.01028726),Makueni,Kenya,,11/11/2023,Hardware,733,31/07/2024,31/08/2024,1,expired
,1553,Utopia Enterprises,692,Utopia Enterprises,POINT(34.7537248 -0.0967905),Kisumu,Kenya,,11/11/2023,Hardware,715,16/11/2023,16/12/2023,1,expired
,1558,Maiyan Agrovet,694,Maiyan Agrovet,POINT(-0.8489822 36.1467757),Narok,Kenya,,11/11/2023,Agribusiness,694,11/11/2023,11/03/2024,4,expired
,1560,Wakim Perfume and Shoes - Karatina Town,695,Wakim Perfume and Shoes,POINT(37.1260539 -0.4845554),Nyeri,Kenya,,12/11/2023,Beauty Products & Cosmetics,695,14/12/2024,28/02/2025,2,active
,1564,Sarah And Family General Enterprise,697,Sarah And Family General Enterprise,POINT(0.6948671 34.1809094),Tororo,Uganda,,13/11/2023,Consumer Goods,697,08/11/2023,08/11/2024,12,expired
,1567,COVENANT ENTERPRISES_1,698,COVENANT ENTERPRISES,POINT(-1.2829758 36.8305239),Nairobi,Kenya,,13/11/2023,Agribusiness,740,17/11/2023,17/11/2024,12,expired
,1568,Covenant Enterprises_2,698,COVENANT ENTERPRISES,POINT(-1.2829758 36.8305239),Nairobi,Kenya,,13/11/2023,Agribusiness,740,17/11/2023,17/11/2024,12,expired
,157,HAITECH FARM ENTERPRISE,71,HAITECH FARM ENTERPRISE,POINT(35.8721084 -1.08996131),Narok,Kenya,,15/04/2023,Consumer Goods,71,14/11/2023,14/11/2024,12,expired
,1573,GENEX AFRICA FARM CENTER LTD,699,GENEX AFRICA FARM CENTER LTD,POINT(0 0),Wakiso,Uganda,,13/11/2023,Agribusiness,699,22/11/2023,22/05/2024,6,expired
,1577,Linvest Autospare,701,Linvest Autospare,POINT(35.3254485 -0.3341127),Kericho,Kenya,,14/11/2023,Other,720,16/11/2023,28/02/2025,15,active
,1583,Pekewa Agrovet,704,Pekewa Agrovet,POINT(-1.0554772 37.1116226),Kiambu,Kenya,,14/11/2023,Agribusiness,719,15/11/2024,15/12/2024,1,active
,1586,Kikwetu animal feeds,705,Kikwetu animal feeds,POINT(37.15712414 -0.38457195),Nyeri,Kenya,,14/11/2023,Agribusiness,730,16/11/2023,16/12/2023,1,expired
,1587,Nyulex Agrochemicals & Cosmetics,659,Nyulex Pharmaceuticals,POINT(-3.8160044 39.6282453),Kilifi,Kenya,,15/11/2023,"Agribusiness,Beauty Products & Cosmetics",725,26/08/2024,26/09/2024,1,expired
,1589,FARMERS AGRO SUPPLY,706,FARMERS AGRO SUPPLY,POINT(0.4653856 32.5218931),Busia,Uganda,,15/11/2023,Agribusiness,732,16/11/2023,16/12/2023,1,expired
,1591,Utugi Agrovet Kagio,707,Utugi Agrovet Kagio,POINT(-0.6262108 37.2535703),Kirinyaga,Kenya,,15/11/2023,Agribusiness,735,16/11/2023,16/12/2023,1,expired
,1595,Unique Agrovet Ugweri,709,Unique Agrovet Ugweri,POINT(-0.470575213432312 37.55816650390625),Embu,Kenya,,15/11/2023,Agribusiness,728,16/11/2023,16/12/2023,1,expired
,1608,Mbaitu Lifecare,715,Mbaitu Lifecare,POINT(-1.7832251 37.6283652),Makueni,Kenya,,16/11/2023,HealthCare,723,16/11/2023,07/10/2024,10,expired
,1612,Chitugul Agro Vet Kamungei,717,Chitugul Farm Store Limited,POINT(-0.686959 35.2191398),Bomet,Kenya,,16/11/2023,Agribusiness,1740,26/10/2024,26/02/2025,4,active
,1623,Shakar Vetagro- KCZ,722,Shakar Vetagro,POINT(35.59079 -1.408755),Narok,Kenya,,19/11/2023,Agribusiness,941,21/12/2023,12/03/2025,14,active
,1624,SHAKAR VETAGRO-KDL,722,Shakar Vetagro,POINT(35.593281666667 -1.4069233333333),Narok,Kenya,,19/11/2023,Agribusiness,941,21/12/2023,12/03/2025,14,active
,1632,Healite Chemist,726,Healite Chemist,POINT(-0.3410932 36.5238085),Nyandarua,Kenya,,20/11/2023,HealthCare,749,20/11/2023,20/12/2023,1,expired
,164,Lela Ventures Van Sale,66,Lelar Ventures,POINT(4.6122045960030915 -0.9192724898457526),Kakamega,Kenya,,18/04/2023,Consumer Goods,66,14/11/2023,14/11/2024,12,expired
,1640,Uzima Health Care,729,Uzima Health Care,POINT(0.4487215 34.2542476),Busia,Kenya,,20/11/2023,HealthCare,751,20/11/2023,20/12/2023,1,expired
,1642,Amo Beauty & Shoe Collection,730,Amo Beauty & Shoe Collection,POINT(34.8774179 1.0611903),Trans Nzoia,Kenya,,20/11/2023,Beauty Products & Cosmetics,752,20/11/2023,20/12/2023,1,expired
,1647,Super Cow Breeders,699,GENEX AFRICA FARM CENTER LTD,POINT(0 0),Kyenjojo,Uganda,,20/11/2023,Agribusiness,699,22/11/2023,22/05/2024,6,expired
,1649,Mwesigwa Family Enterprises,733,Mwesigwa Family Enterprises,POINT(33.2125042 0.4317392),Jinja,Uganda,,20/11/2023,Other,754,03/02/2025,03/03/2025,1,active
,166,KIRABO UGANDA LTD,75,KIRABO UGANDA LTD,POINT(30.66315786 -0.60663636),Mbarara,Uganda,,22/04/2023,Consumer Goods,75,14/11/2023,14/11/2024,12,expired
,1662,DESTISANG VENTURES,739,DESTISANG VENTURES ELECTRONICS,POINT(-0.9198676999999998 35.3004925),Bomet,Kenya,,21/11/2023,Other,1952,19/10/2024,19/11/2024,1,expired
,1665,JACKSON INNOVATIVE PLUMBING SOLUTION,740,JACKSON INNOVATIVE PLUMBING SOLUTION,POINT(-0.3119988 37.6607796),Tharaka Nithi,Kenya,,21/11/2023,Hardware,949,26/12/2023,07/02/2025,13,expired
,1667,ARCH VET DRUG SHOP,741,ARCH VET DRUG SHOP,POINT(31.1475913 -0.1133027),Lyantonde,Uganda,,21/11/2023,Agribusiness,763,06/02/2024,06/03/2024,1,expired
,1673,NDHIWA PAINTS AND GLASSES,743,NDHIWA PAINTS AND GLASSES,POINT(-0.7314703 34.3669437),Homa Bay,Kenya,,22/11/2023,Hardware,764,22/11/2023,22/11/2024,12,expired
,1675,Wagathoni Hardware,744,Wagathoni Hardware,POINT(-0.6315409 35.9991896),Nakuru,Kenya,,22/11/2023,Hardware,765,22/11/2023,26/05/2024,6,expired
,1677,Chabera Agrovet,745,Chambers Agrovet,POINT(35.0062859 -0.4179666),Homa Bay,Kenya,,22/11/2023,Agribusiness,1341,19/11/2024,04/03/2025,3,active
,1685,Modern Cow Solutions,699,GENEX AFRICA FARM CENTER LTD,POINT(30.630323333333 -0.609965),Mbarara,Uganda,,22/11/2023,Agribusiness,699,22/11/2023,22/05/2024,6,expired
,1688,STORE 1,698,COVENANT ENTERPRISES,POINT(-1.2829876 36.8305246),Nairobi,Kenya,,22/11/2023,Agribusiness,740,17/11/2023,17/11/2024,12,expired
,1689,STORE 2,698,COVENANT ENTERPRISES,POINT(-1.2829913 36.8305142),Nairobi,Kenya,,22/11/2023,Agribusiness,740,17/11/2023,17/11/2024,12,expired
,1697,HIPHONIC COMPANY LIMITED,753,HI PHONIC COMPANY LIMITED,POINT(-0.3640253 35.287454),Kericho,Kenya,,23/11/2023,Agribusiness,769,05/12/2023,05/12/2028,60,active
,1700,Deinn Stores,754,Deinn Stores,POINT(0.2021103 35.0996522),Nandi,Kenya,,23/11/2023,Other,770,23/11/2023,18/04/2024,4,expired
,1701,Uswet Farmers Stores,717,Chitugul Farm Store Limited,POINT(35.18936355 -0.70970092),Bomet,Kenya,,23/11/2023,Agribusiness,1740,26/10/2024,26/02/2025,4,active
,1703,Kirebo Enterprises,755,Kirebo Enterprises,POINT(37.9316039 -1.8240703),Kitui,Kenya,,23/11/2023,Agribusiness,771,23/11/2023,05/07/2024,7,expired
,1707,Benmut Ventures,757,Benmut Ventures,POINT(-1.5336789 38.0050999),Kitui,Kenya,,24/11/2023,Agribusiness,773,13/09/2024,13/10/2024,1,expired
,1709,Sky Eyes Limited,758,Sky Eyes Limited,POINT(0.5013323 32.5218392),Wakiso,Uganda,,24/11/2023,Consumer Goods,774,24/11/2023,24/12/2023,1,expired
,1711,Bigimu investment  Ltd,759,Bigimu investment  Ltd,POINT(0.5852064 33.0301176),Kayunga,Uganda,,24/11/2023,Agribusiness,775,24/11/2023,24/11/2024,12,expired
,1715,Tafemu Enterprises,761,Tafemu Enterprises,POINT(-1.5010622 37.9518066),Kitui,Kenya,,24/11/2023,Agribusiness,776,24/11/2023,24/07/2024,8,expired
,1719,Vivs Farmers World,763,Vivs Farmers World,POINT(-0.3223267 36.4135717),Nyandarua,Kenya,,24/11/2023,Agribusiness,2122,03/01/2025,04/03/2025,2,active
,172,Ndewa Agrovet,77,Ndewa Agrovet,POINT(39.54871486 -3.96566185),Kilifi,Kenya,,27/04/2023,Consumer Goods,77,14/11/2023,14/11/2024,12,expired
,1721,Alisa Agrovet-Kisima,764,Alisa Agrovet,POINT(35.8882 -0.28520166666667),Nakuru,Kenya,,24/11/2023,Agribusiness,967,02/01/2024,02/02/2024,1,expired
,1723,BIRUNGI FARM SUPPLY,765,BIRUNGI FARM SUPPLY,POINT(-0.6376899 30.6136971),Mbarara,Uganda,,24/11/2023,Agribusiness,948,04/11/2024,04/12/2025,13,active
,1729,Kinoni Farmers Vet Drug Shop,768,Farmer's Pride Vet Drugshop,POINT(-0.0757666 31.0526346),Kiruhura,Uganda,,25/11/2023,Agribusiness,780,22/02/2024,22/02/2025,12,active
,1731,Good Care Pharmacy -Bubulo,769,Good Care Pharmacy -Bubulo,POINT(34.2794917 0.9437146),Manafwa,Uganda,,25/11/2023,HealthCare,781,11/11/2024,11/12/2024,1,expired
,1738,Shisejeri Agrovet,772,Shisejeri Agrovet,POINT(0.1511726 34.7062117),Kakamega,Kenya,,27/11/2023,Agribusiness,955,29/12/2023,08/03/2025,14,active
,174,Laura Agrovet,78,Laura Agrovet,POINT(0 0),Kakamega,Kenya,,05/05/2023,Consumer Goods,78,14/11/2023,14/11/2024,12,expired
,1742,Highway Agrovet Kithiriti,774,Highway Agrovet Kithiriti,POINT(37.3184267 -0.5975451),Kirinyaga,Kenya,,27/11/2023,Agribusiness,785,12/02/2024,12/03/2024,1,expired
,1750,STS Hardware,778,STS Hardware,POINT(0.4660825 32.3870805),Wakiso,Uganda,,27/11/2023,Hardware,787,30/01/2024,01/03/2024,1,expired
,1752,Mkulima Agrovet-junction,779,Mkulima Agrovet-junction,POINT(-1.0350853 37.0757801),Murang'a,Kenya,,27/11/2023,Agribusiness,966,04/03/2024,28/02/2025,11,active
,1758,Barimen Entreprise Limited,781,Barimen Entreprise Limited,POINT(-0.6373264 35.287454),Bomet,Kenya,,28/11/2023,Hardware,964,05/06/2024,05/07/2024,1,expired
,176,Farmhouse Agrovet,79,Serenity Agrovet Stores,POINT(37.0142522 -1.1407181),Kiambu,Kenya,,16/05/2023,Agribusiness,79,07/09/2023,07/09/2024,12,expired
,1760,Aquatreat Solutions Limited,782,Aquatreat Solutions Limited,POINT(-1.2837442 36.9638673),Nairobi,Kenya,,28/11/2023,Other,2113,28/11/2024,07/03/2025,3,active
,1765,agrivet pharmacare supplies,784,agrivet pharmacare supplies,POINT(-1.0556602 37.1135531),Nairobi,Kenya,,28/11/2023,Agribusiness,794,28/11/2023,28/12/2023,1,expired
,1767,Rehoboth Agrochemicals - Topoti,785,Rehoboth Agrochemicals - Topoti,POINT(-0.7090122 36.0480531),Narok,Kenya,,29/11/2023,Agribusiness,962,01/01/2024,01/02/2024,1,expired
,1771,Rapha Agrostore,787,Rapha Agrostore,POINT(34.89804007 0.61830104),Kakamega,Kenya,,29/11/2023,Agribusiness,799,29/11/2023,29/12/2023,1,expired
,1779,Jodeal Agrovet,791,Jodeal Agrovet,POINT(-0.3643605 37.4946443),Embu,Kenya,,30/11/2023,"Agribusiness,Other",968,15/11/2024,25/02/2025,3,active
,1785,Barimen's Entreprise Limited -Kap,781,Barimen Entreprise Limited,POINT(-0.6509374 35.2548487),Bomet,Kenya,,01/12/2023,Hardware,964,05/06/2024,05/07/2024,1,expired
,1787,NAFUU AGROVET,794,NAFUU AGROVET,POINT(0.1568505 37.7010056),Meru,Kenya,,01/12/2023,Agribusiness,801,01/12/2023,03/12/2025,24,active
,1789,Kionyoni  Ventures,795,Kionyoni  Ventures,POINT(37.7930054 -1.5216799),Kitui,Kenya,,01/12/2023,Agribusiness,811,01/12/2023,05/07/2024,7,expired
,1791,JACRINEMU DIGITA AGROVET,796,JACRINEMU DIGITA AGROVET,POINT(-1.7791745 37.625854),Makueni,Kenya,,01/12/2023,Agribusiness,803,01/12/2023,05/07/2024,7,expired
,1793,Muyo Agrow Shop,797,Muyo Agrow Shop,POINT(37.2683874 -1.5198701),Makueni,Kenya,,01/12/2023,Agribusiness,807,01/12/2023,05/07/2024,7,expired
,1795,Giddys Agrovet Supplies,798,Giddys Agrovet Supplies,POINT(37.2498911 -1.6255807),Machakos,Kenya,,01/12/2023,Agribusiness,804,29/07/2024,29/08/2024,1,expired
,1797,Alexsyoki Agencies,799,Alexsyoki Agencies,POINT(37.2683929 -1.5198694),Machakos,Kenya,,01/12/2023,Agribusiness,808,01/12/2023,05/07/2024,7,expired
,1799,Miambani farm Inputs Center,800,Miambani farm Inputs Center,POINT(37.2683879 -1.51987),Kitui,Kenya,,01/12/2023,Agribusiness,806,01/12/2023,05/07/2024,7,expired
,180,Hassani,81,Hassani,POINT(0 0),Kisumu,Kenya,,24/05/2023,"Consumer Goods,Groceries,Liquor,Logistics",81,14/11/2023,14/11/2024,12,expired
,1801,Gorreti agroshop l,801,Gorreti agroshop l,POINT(37.6537959 -1.4127213),Machakos,Kenya,,01/12/2023,Agribusiness,810,01/12/2023,05/07/2024,7,expired
,1803,MITIMU ENTERPRISE,802,MITIMU ENTERPRISE,POINT(37.6607796 -1.3138839),Machakos,Kenya,,01/12/2023,Agribusiness,802,01/12/2023,05/07/2024,7,expired
